State,County,Average Number of guns
Alabama,Autauga ,2412.552239
Alabama,Baldwin ,2412.552239
Alabama,Barbour ,2412.552239
Alabama,Bibb ,2412.552239
Alabama,Blount ,2412.552239
Alabama,Bullock ,2412.552239
Alabama,Butler ,2412.552239
Alabama,Calhoun ,2412.552239
Alabama,Chambers ,2412.552239
Alabama,Cherokee ,2412.552239
Alabama,Chilton ,2412.552239
Alabama,Choctaw ,2412.552239
Alabama,Clarke ,2412.552239
Alabama,Clay ,2412.552239
Alabama,Cleburne ,2412.552239
Alabama,Coffee ,2412.552239
Alabama,Colbert ,2412.552239
Alabama,Conecuh ,2412.552239
Alabama,Coosa ,2412.552239
Alabama,Covington ,2412.552239
Alabama,Crenshaw ,2412.552239
Alabama,Cullman ,2412.552239
Alabama,Dale ,2412.552239
Alabama,Dallas ,2412.552239
Alabama,DeKalb ,2412.552239
Alabama,Elmore ,2412.552239
Alabama,Escambia ,2412.552239
Alabama,Etowah ,2412.552239
Alabama,Fayette ,2412.552239
Alabama,Franklin ,2412.552239
Alabama,Geneva ,2412.552239
Alabama,Greene ,2412.552239
Alabama,Hale ,2412.552239
Alabama,Henry ,2412.552239
Alabama,Houston ,2412.552239
Alabama,Jackson ,2412.552239
Alabama,Jefferson ,2412.552239
Alabama,Lamar ,2412.552239
Alabama,Lauderdale ,2412.552239
Alabama,Lawrence ,2412.552239
Alabama,Lee ,2412.552239
Alabama,Limestone ,2412.552239
